"DEPARTURE","ARRIVAL","ORIGIN","DEST","DISTANCE","DEP_DELAY","ARR_DELAY",
1456953000,1456964340,"LAX","JFK",2475.00,40.00,41.00, 
1457036760,1457047884,"LAX","JFK",2475.00,-4.00,-9.00, 
1457123460,1457134404,"LAX","JFK",2475.00,1.00,-9.00, 
1457000460,1457011620,"SFO","JFK",2586.00,-4.00,-29.00, 
1457173560,1457185836,"SFO","JFK",2586.00,1.00,7.00, 
1456868280,1456877784,"OGG","LAX",2486.00,-13.00,-56.00, 
1456954980,1456965204,"OGG","LAX",2486.00,-8.00,-31.00, 
1457041140,1457051472,"OGG","LAX",2486.00,-12.00,-32.00, 
1457111880,1457121924,"OGG","LAX",2486.00,1167.00,1139.00, 
1456815240,1456829604,"JFK","SFO",2586.00,-6.00,-12.00, 
1456901700,1456916100,"JFK","SFO",2586.00,-5.00,-10.00, 
1456987980,1457002308,"JFK","SFO",2586.00,-7.00,-14.00, 
1457075460,1457092776,"JFK","SFO",2586.00,11.00,87.00, 
1456831560,1456843332,"SFO","JFK",2586.00,-9.00,-14.00, 
1456918080,1456929060,"SFO","JFK",2586.00,-7.00,-34.00, 
1457005020,1457016612,"SFO","JFK",2586.00,2.00,-8.00, 
1457091480,1457103720,"SFO","JFK",2586.00,3.00,11.00, 
1456850700,1456865172,"JFK","SFO",2586.00,45.00,48.00, 
1456934220,1456948368,"JFK","SFO",2586.00,-3.00,-9.00, 
1457020740,1457035680,"JFK","SFO",2586.00,-1.00,15.00, 
1457110200,1457124924,"JFK","SFO",2586.00,50.00,60.00, 
1457200020,1457213880,"JFK","SFO",2586.00,107.00,93.00, 
1456868880,1456880184,"SFO","JFK",2586.00,-12.00,-27.00, 
1456956060,1456967724,"SFO","JFK",2586.00,1.00,-4.00, 
1457129040,1457141388,"SFO","JFK",2586.00,4.00,17.00, 
1456825860,1456839144,"JFK","LAX",2475.00,-9.00,-20.00, 
1456912320,1456925820,"JFK","LAX",2475.00,-8.00,-13.00, 
1456998840,1457012484,"JFK","LAX",2475.00,-6.00,-7.00, 
1457085360,1457099112,"JFK","LAX",2475.00,-4.00,-2.00, 
1457171400,1457184648,"JFK","LAX",2475.00,-10.00,-22.00, 
1456840320,1456852632,"SFO","JFK",2586.00,-8.00,11.00, 
1456926720,1456937772,"SFO","JFK",2586.00,-8.00,-24.00, 
1457014140,1457025228,"SFO","JFK",2586.00,9.00,-6.00, 
1457100300,1457111568,"SFO","JFK",2586.00,5.00,-5.00, 
1456853880,1456868388,"JFK","LAX",2475.00,8.00,22.00, 
1456939500,1456953252,"JFK","LAX",2475.00,-5.00,-12.00, 
1457028360,1457041932,"JFK","LAX",2475.00,36.00,24.00, 
1457113980,1457128380,"JFK","LAX",2475.00,23.00,34.00, 
1457199480,1457213808,"JFK","LAX",2475.00,8.00,17.00, 
1456842360,1456853664,"LAX","JFK",2475.00,-4.00,-13.00, 
1456928520,1456940688,"LAX","JFK",2475.00,-8.00,7.00, 
1457014980,1457026248,"LAX","JFK",2475.00,-7.00,-17.00, 
1457101320,1457112516,"LAX","JFK",2475.00,-8.00,-20.00, 
1456952100,1456966140,"JFK","LAX",2475.00,-5.00,-5.00, 
1457038440,1457052408,"JFK","LAX",2475.00,-6.00,-8.00, 
1456813080,1456824960,"SFO","JFK",2586.00,-7.00,-12.00, 
1456899660,1456910748,"SFO","JFK",2586.00,-4.00,-31.00, 
1456985880,1456997652,"SFO","JFK",2586.00,-7.00,-15.00, 
1457072460,1457083620,"SFO","JFK",2586.00,-4.00,-29.00, 
1457158800,1457170392,"SFO","JFK",2586.00,-5.00,-18.00, 
1456833600,1456840404,"DFW","PHL",1303.00,10.00,15.00, 
1456920360,1456926768,"DFW","PHL",1303.00,16.00,10.00, 
1457006220,1457012916,"DFW","PHL",1303.00,7.00,9.00, 
1457092800,1457099352,"DFW","PHL",1303.00,10.00,8.00, 
1457178540,1457184732,"DFW","PHL",1303.00,-1.00,-13.00, 
1456851000,1456859676,"PHL","DFW",1303.00,-5.00,-6.00, 
1456937640,1456945992,"PHL","DFW",1303.00,-1.00,-11.00, 
1457024340,1457032368,"PHL","DFW",1303.00,4.00,-15.00, 
1457111040,1457119572,"PHL","DFW",1303.00,9.00,4.00, 
1457195940,1457203716,"PHL","DFW",1303.00,-6.00,-28.00, 
1456867500,1456878948,"LAX","JFK",2475.00,-5.00,-3.00, 
1456953780,1456965732,"LAX","JFK",2475.00,-7.00,9.00, 
1457040600,1457052048,"LAX","JFK",2475.00,0.00,2.00, 
1457126940,1457138136,"LAX","JFK",2475.00,-1.00,-6.00, 
1456832340,1456838820,"MIA","BOS",1258.00,9.00,0.00, 
1456920600,1456927260,"MIA","BOS",1258.00,40.00,36.00, 
1457005200,1457011896,"MIA","BOS",1258.00,0.00,-3.00, 
1457091480,1457098140,"MIA","BOS",1258.00,-2.00,-6.00, 
1457180640,1457187120,"MIA","BOS",1258.00,44.00,35.00, 
1456870800,1456882716,"LAX","JFK",2475.00,-10.00,5.00, 
1456957440,1456969248,"LAX","JFK",2475.00,-6.00,6.00, 
1457043900,1457055528,"LAX","JFK",2475.00,-5.00,2.00, 
1457130180,1457141484,"LAX","JFK",2475.00,-7.00,-9.00, 
1456988100,1457002068,"LAX","HNL",2556.00,-5.00,10.00, 
1457074380,1457087772,"LAX","HNL",2556.00,-7.00,-8.00, 
1457160840,1457174592,"LAX","HNL",2556.00,-6.00,3.00, 
1456839060,1456850688,"LAX","JFK",2475.00,1.00,0.00, 
1456926060,1456937796,"LAX","JFK",2475.00,11.00,13.00, 
1457011440,1457022744,"LAX","JFK",2475.00,-6.00,-16.00, 
1457098920,1457109900,"LAX","JFK",2475.00,12.00,-7.00, 
1457184480,1457195856,"LAX","JFK",2475.00,-2.00,-10.00, 
1456815600,1456829280,"JFK","LAX",2475.00,0.00,-20.00, 
1456901700,1456915128,"JFK","LAX",2475.00,-5.00,-32.00, 
1456988460,1457002176,"JFK","LAX",2475.00,1.00,-18.00, 
1457074560,1457088960,"JFK","LAX",2475.00,-4.00,-4.00, 
1457160720,1457173788,"JFK","LAX",2475.00,-8.00,-45.00, 
1456814820,1456828464,"LAX","JFK",2475.00,-13.00,37.00, 
1456987980,1456998924,"LAX","JFK",2475.00,-7.00,-32.00, 
1457074740,1457086656,"LAX","JFK",2475.00,-1.00,1.00, 
1457160960,1457172084,"LAX","JFK",2475.00,-4.00,-24.00, 
1456847040,1456850100,"DFW","MEM",431.00,4.00,3.00, 
1456932960,1456936128,"DFW","MEM",431.00,-4.00,-2.00, 
1456977360,1456985820,"EWR","DFW",1372.00,-4.00,-19.00, 
1457063700,1457073132,"EWR","DFW",1372.00,-5.00,7.00, 
1457153520,1457161116,"EWR","DFW",1372.00,52.00,13.00, 
1456854660,1456858152,"MEM","DFW",431.00,1.00,-5.00, 
1456940640,1456943592,"MEM","DFW",431.00,-6.00,-27.00, 
1456816560,1456823364,"SFO","DFW",1464.00,-4.00,-24.00, 
